simulation,wins,losses,actual_win_rate,final_capital,total_return,max_drawdown,max_losing_streak,profitable
926,427,373,0.53375,12353.029839698162,0.2353029839698162,-0.26224648170418186,7,True
927,417,383,0.52125,9693.572182004278,-0.03064278179957214,-0.36756693065751334,8,False
928,384,416,0.48,4355.399834020947,-0.5644600165979052,-0.6150134507099038,8,False
929,406,394,0.5075,7424.466336829117,-0.25755336631708836,-0.44774696423756655,11,False
930,439,361,0.54875,16524.223513704546,0.6524223513704546,-0.1497470667884997,7,True
931,415,385,0.51875,9234.76652890315,-0.076523347109685,-0.41213777924870687,8,False
932,424,376,0.53,11486.470403982248,0.14864704039822474,-0.28975994373994085,9,True
933,400,400,0.5,6419.355943349334,-0.3580644056650666,-0.42493312038823905,8,False
934,425,375,0.53125,11768.34961893267,0.17683496189326697,-0.28611990003027177,10,True
935,415,385,0.51875,9234.76652890315,-0.076523347109685,-0.3932339298132378,9,False
936,423,377,0.52875,11211.342848728722,0.12113428487287226,-0.2698237212795962,10,True
937,411,389,0.51375,8381.274474928952,-0.16187255250710475,-0.34122408105564184,9,False
938,438,362,0.5475,16128.430109996118,0.6128430109996117,-0.21058939227787843,9,True
939,421,379,0.52625,10680.699719315506,0.06806997193155051,-0.2262405651526339,10,True
940,420,380,0.525,10424.872237171507,0.042487223717150746,-0.2589107891982855,12,True
941,438,362,0.5475,16128.43010999608,0.6128430109996079,-0.24961786331533398,8,True
942,419,381,0.52375,10175.172415418736,0.017517241541873618,-0.2278929271516238,7,True
943,420,380,0.525,10424.872237171512,0.04248722371715119,-0.3588761188251045,8,True
944,429,371,0.53625,12966.75839532996,0.29667583953299603,-0.21424934634194914,9,True
945,459,341,0.57375,26834.92245469035,1.683492245469035,-0.21972984502624693,7,True
946,416,384,0.52,9461.3886893986,-0.05386113106014001,-0.32614718127955167,9,False
947,404,396,0.505,7073.059542446321,-0.29269404575536795,-0.5009932781581585,9,False
948,390,410,0.4875,5037.346384355172,-0.49626536156448287,-0.5731287419201061,7,False
949,414,386,0.5175,9013.572493740428,-0.09864275062595718,-0.3501679817702046,7,False
950,439,361,0.54875,16524.223513704528,0.6524223513704528,-0.21550108591254125,7,True
951,417,383,0.52125,9693.572182004289,-0.03064278179957114,-0.5165121674777287,11,False
952,447,353,0.55875,20061.009072762154,1.0061009072762155,-0.14596980807097937,11,True
